price,area_sqft,bedrooms,bathrooms,location_final
7700000,1000,2,2,Gwalior Cooperative Housing Society
6000000,1080,3,3,Gulshan
9500000,900,2,2,Gulshan
5500000,700,2,2,Scheme 33
12500000,2160,3,3,Gulshan
35000000,3000,4,5,Other
53500000,4500,5,5,Bahria Town
8400000,1150,3,3,Other
18800000,1080,4,4,Saima Arabian Villas
120000000,4500,6,6,DHA
140000000,8397,4,4,Clifton
62500000,900,3,3,DHA
33000000,900,3,3,DHA
65000000,4500,3,4,DHA
55000000,2400,4,4,Clifton
55000000,6300,2,2,Clifton
142500000,9000,4,4,DHA
55000000,4500,3,4,DHA
7500000,264,3,3,Other
5500000,1250,3,3,Gulistan
6250000,1080,3,3,Garden
65000000,2925,6,6,Capital Cooperative Housing Society
60000000,2160,6,6,Gulistan
36500000,2200,4,4,Other
6200000,1080,3,3,Gulshan
100000000,1080,3,3,Other
17200000,1368,3,3,Bahria Town
42500000,1800,6,7,North Nazimabad
720000,60,3,3,North Town Residency
5800000,1080,3,3,Garden
6100000,1080,3,3,Garden
7500000,1080,3,3,Garden
50000000,1400,3,3,Other
195000000,5400,6,6,Other
16000000,1100,3,3,Other
35000000,2160,3,3,Gulshan
4800000,600,2,2,Gulistan
6600000,1080,3,3,Other
39500000,120,3,3,Nazimabad
8200000,1050,2,2,North Nazimabad
4500000,1080,3,3,Other
4900000,1080,3,3,Surjani Town
27599999,1080,3,3,Other
6800000,1050,2,2,Other
5400000,600,2,2,Other
120000000,4500,5,5,DHA
10500000,1080,2,2,Other
17500000,1728,3,3,Korangi
39500000,2322,6,6,Gulshan
29500000,2160,3,3,Other
6500000,1800,3,3,Falaknaz Dreams
14500000,1800,3,3,Other
14300000,1800,3,3,Other
10500000,1080,3,3,Other
12200000,1080,3,3,Other
8600000,850,2,2,Other
4600000,720,3,3,Surjani Town
37000000,120,4,4,Nazimabad
10600000,1080,2,2,Other
14200000,1440,3,3,Other
17800000,1980,3,3,Other
24000000,3600,3,4,Other
15900000,1350,3,3,Other
5200000,1080,3,3,Saima Arabian Villas
2400000,127,1,1,North Town Residency
8200000,850,4,2,North
23500000,1197,4,6,Airport Road
5800000,955,2,2,Bahria Town
7500000,1200,4,3,North
32500000,3600,3,4,Capital Cooperative Housing Society
5000000,851,2,2,Other
22900000,2034,3,3,Other
3500000,720,3,3,Korangi
7000000,955,2,2,Bahria Town
11000000,1300,4,2,Gulshan
5500000,599,3,2,North
8000000,850,4,2,North
8500000,900,4,2,North
11000000,1350,4,2,Scheme 33
7300000,900,4,2,North
