price,area,bedrooms,bathrooms,location
Rs 77 Lacs,"1,000 SQFT",2 Beds,2 Baths,"Gwalior Cooperative Housing Society, Karachi•"
Rs 60 Lacs,120 SQYD,0,0,"Gulshan-e-Maymar - Sector X, Karachi•"
Rs 95 Lacs,900 SQFT,2 Beds,2 Baths,"Gulshan-E-Iqbal Block 11, Karachi•"
Rs 55 Lacs,700 SQFT,2 Beds,2 Baths,"Scheme 33, Karachi•"
Rs 1.25 Crore,240 SQYD,0,0,"Gulshan-e-Roomi, Karachi•"
Rs 3.50 Crore,"3,000 SQFT",4 Beds,5 Baths,"Jinnah Avenue, Karachi•"
Rs 5.35 Crore,500 SQYD,5 Beds,5 Baths,"Bahria Hills, Karachi•"
Rs 84 Lacs,"1,150 SQFT",3 Beds,3 Baths,"Paradise Arcade, Karachi•"
Rs 1.88 Crore,120 SQYD,4 Beds,4 Baths,"Saima Arabian Villas, Karachi•"
Rs 23 Crore,200 SQYD,0,0,"DHA Phase 8 - Zone A, Karachi•"
Rs 12 Crore,500 SQYD,6 Beds,6 Baths,"DHA Phase 6, Karachi•"
Rs 14 Crore,933 SQYD,0,0,"Clifton - Block 1, Karachi•"
Rs 6.25 Crore,100 SQYD,0,0,"DHA Phase 8, Karachi•"
Rs 3.30 Crore,100 SQYD,0,0,"DHA Phase 7 Extension, Karachi•"
Rs 33.29 Crore,333 SQYD,0,0,"DHA Phase 8 Extension, Karachi•"
Rs 40 Crore,300 SQYD,0,0,"DHA Phase 8 Extension, Karachi•"
Rs 6.50 Crore,500 SQYD,0,0,"DHA Phase 8 - Zone D, Karachi•"
Rs 5.50 Crore,"2,400 SQFT",4 Beds,4 Baths,"Clifton - Block 7, Karachi•"
Rs 5.50 Crore,"6,300 SQFT",2 Beds,2 Baths,"Clifton - Block 2, Karachi•"
Rs 14.25 Crore,"1,000 SQYD",0,0,"DHA Phase 8 - Zone E, Karachi•"
Rs 5.50 Crore,500 SQYD,0,0,"DHA Phase 8 Extension, Karachi•"
Rs 75 Lacs,264 SQFT,0,0,"Millennium Mall, Karachi•"
Rs 55 Lacs,"1,250 SQFT",3 Beds,3 Baths,"Gulistan-e-Jauhar Block 17, Karachi•"
Rs 62.50 Lacs,120 SQYD,0,0,"Saadi Garden - Block 2, Karachi•"
Rs 6.50 Crore,325 SQYD,6 Beds,6 Baths,"Capital Cooperative Housing Society, Karachi•"
Rs 6 Crore,240 SQYD,6 Beds,6 Baths,"Gulistan-e-Jauhar Block 3, Karachi•"
Rs 3.65 Crore,"2,200 SQFT",4 Beds,4 Baths,"Kings Presidency, Karachi•"
Rs 62 Lacs,120 SQYD,0,0,"Gulshan-e-Roomi, Karachi•"
Rs 10 Crore,120 SQYD,0,0,"New Karachi, Karachi•"
Rs 1.72 Crore,152 SQYD,3 Beds,3 Baths,"Bahria Homes - Iqbal Villas, Karachi•"
